MID,DCID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
MT001,DC001,181,228,209,159,153,228,120,190,196,215
MT004,DC001,125,168,159,162,196,125,141,141,122,206
MT005,DC001,150,211,197,211,171,125,187,232,204,148
MT007,DC001,167,199,219,183,209,165,179,165,205,181
MT008,DC001,184,226,132,172,169,179,190,196,141,196
MT009,DC001,191,140,166,200,159,138,154,124,133,201
MT010,DC001,241,172,154,219,135,155,163,167,191,226
MT011,DC001,181,209,173,126,178,140,141,147,207,174
MT013,DC001,237,161,189,157,217,179,165,227,146,188
MT014,DC001,160,205,183,158,191,198,198,151,144,172
MT016,DC001,138,170,183,156,175,197,143,131,180,127
MT017,DC001,168,151,201,140,234,127,158,173,133,243
MT018,DC001,188,159,137,128,129,117,175,221,155,213
MT019,DC001,135,209,234,164,234,126,193,219,234,209
MT020,DC001,179,142,228,153,133,136,183,162,141,203
MT025,DC001,163,181,181,155,213,166,170,191,206,168
MT026,DC001,165,150,250,194,215,163,176,176,157,185
MT028,DC001,166,129,149,150,117,205,185,174,140,207
MT029,DC001,200,194,154,162,215,209,207,135,130,187
MT030,DC001,191,140,171,141,213,172,143,221,125,169
MT031,DC001,175,147,161,163,197,144,174,147,186,195
MT032,DC001,194,133,161,238,224,232,151,234,208,145
MT033,DC001,198,211,145,164,167,139,195,157,201,219
MT035,DC001,168,209,205,202,194,174,145,205,169,196
MT036,DC001,220,208,156,190,191,200,175,176,200,232
MT021,DC001,572,680,663,541,423,657,444,575,645,737
MT023,DC001,467,552,513,472,483,639,490,401,488,722
MT002,DC001,163,150,105,119,108,152,97,161,95,151
MT003,DC001,156,111,133,130,110,143,157,112,125,130
MT006,DC001,130,138,116,94,158,106,119,163,158,128
MT012,DC001,148,168,140,131,110,156,139,159,122,164
MT015,DC001,141,158,98,138,149,159,102,112,106,128
MT022,DC001,124,104,154,164,122,142,112,142,173,86
MT024,DC001,108,133,114,107,131,162,132,104,149,131
MT027,DC001,120,122,148,103,98,94,149,147,146,108
MT034,DC001,86,89,122,131,99,126,132,119,122,153
MT001,DC002,139,127,130,81,147,82,96,95,143,95
MT004,DC002,149,138,83,115,79,131,100,112,90,114
MT005,DC002,153,137,95,142,114,127,138,121,110,96
MT007,DC002,111,143,135,131,76,125,121,95,128,95
MT008,DC002,138,113,135,131,132,118,97,101,140,118
MT009,DC002,90,130,80,112,103,109,151,147,93,129
MT010,DC002,133,102,99,94,125,106,150,86,78,113
MT011,DC002,137,98,111,120,115,102,124,85,129,89
MT013,DC002,113,146,139,151,90,155,125,133,89,134
MT014,DC002,116,87,96,131,121,130,88,107,100,123
MT016,DC002,110,159,127,122,102,84,125,147,155,136
MT017,DC002,115,100,134,112,130,109,136,95,110,117
MT018,DC002,130,133,89,112,88,127,136,148,156,123
MT019,DC002,128,131,143,120,126,139,162,128,113,119
MT020,DC002,82,127,86,102,133,138,112,122,106,123
MT025,DC002,138,86,120,96,118,80,88,156,150,105
MT026,DC002,155,122,94,96,87,106,115,119,153,120
MT028,DC002,97,138,105,94,123,140,110,155,104,118
MT029,DC002,121,112,92,131,123,87,141,95,105,152
MT030,DC002,92,135,87,96,95,79,121,84,129,116
MT031,DC002,99,146,146,139,125,114,91,128,140,86
MT032,DC002,99,126,126,145,107,127,92,80,112,88
MT033,DC002,86,107,121,119,97,147,142,109,115,100
MT035,DC002,96,116,115,129,135,139,125,96,126,141
MT036,DC002,152,89,104,123,148,161,140,125,120,122
MT021,DC002,392,268,390,254,342,357,341,372,375,252
MT023,DC002,329,259,263,342,332,317,250,271,372,414
MT002,DC002,82,82,76,102,116,98,70,95,100,63
MT003,DC002,67,90,99,71,106,86,97,64,77,69
MT006,DC002,58,91,70,81,94,75,94,60,75,60
MT012,DC002,74,75,77,88,61,77,75,89,104,76
MT015,DC002,105,89,101,104,84,94,83,90,103,104
MT022,DC002,93,91,113,66,84,84,98,78,72,90
MT024,DC002,81,74,93,94,78,62,73,89,76,63
MT027,DC002,60,67,72,96,88,93,64,78,60,90
MT034,DC002,67,78,78,80,75,73,67,70,71,80
MT001,DC003,165,132,189,224,202,198,145,160,130,219
MT004,DC003,154,153,238,193,174,202,144,149,205,216
MT005,DC003,188,169,166,229,142,210,223,136,155,166
MT007,DC003,176,159,173,148,175,194,178,190,144,147
MT008,DC003,215,226,178,162,155,202,190,161,171,139
MT009,DC003,216,171,186,190,187,156,123,140,121,157
MT010,DC003,185,214,159,186,166,124,151,132,179,198
MT011,DC003,223,149,193,143,200,220,148,212,208,226
MT013,DC003,147,206,165,142,167,214,237,198,204,148
MT014,DC003,168,184,186,191,207,144,170,205,182,209
