MID,DCID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
MT001,DC001,258,205,244,86,253,221,222,113,67,70
MT004,DC001,67,101,130,248,174,78,55,194,145,214
MT005,DC001,97,219,122,250,166,62,129,258,202,212
MT007,DC001,106,231,286,201,236,275,91,238,84,164
MT008,DC001,248,295,146,59,231,135,167,267,71,318
MT009,DC001,240,198,220,271,174,158,87,141,136,207
MT010,DC001,312,215,254,272,176,232,278,217,187,222
MT011,DC001,275,206,230,75,144,129,132,150,225,101
MT013,DC001,153,156,135,171,93,259,255,101,102,217
MT014,DC001,222,250,139,220,328,198,230,256,120,201
MT016,DC001,196,139,179,97,236,217,203,143,231,52
MT017,DC001,288,76,74,141,348,209,209,78,59,281
MT018,DC001,249,196,125,124,54,92,155,179,75,308
MT019,DC001,84,116,332,164,151,124,238,237,272,337
MT020,DC001,188,120,135,153,218,191,138,175,50,81
MT025,DC001,214,115,228,84,177,267,56,150,260,215
MT026,DC001,218,54,295,214,195,153,168,171,247,82
MT028,DC001,205,205,232,125,44,85,87,283,203,66
MT029,DC001,89,141,254,252,115,118,272,73,153,99
MT030,DC001,241,123,146,65,93,256,71,125,81,144
MT031,DC001,57,172,143,90,181,113,50,90,72,227
MT032,DC001,307,200,186,266,169,197,186,258,183,65
MT033,DC001,309,204,158,110,141,139,268,172,219,239
MT035,DC001,236,145,336,319,188,100,99,141,211,152
MT036,DC001,214,174,200,247,152,285,148,161,256,184
MT021,DC001,511,312,546,707,322,184,353,636,510,266
MT023,DC001,818,703,344,321,625,812,201,414,625,1097
MT002,DC001,188,170,58,197,106,62,172,48,53,130
MT003,DC001,179,68,45,196,153,215,187,147,193,78
MT006,DC001,136,99,160,170,127,51,153,185,153,39
MT012,DC001,88,160,172,99,90,94,155,272,154,206
MT015,DC001,259,215,51,163,245,184,138,60,39,106
MT022,DC001,78,107,115,162,169,198,186,78,232,86
MT024,DC001,77,58,123,128,45,176,128,168,93,213
MT027,DC001,62,185,59,119,125,149,214,228,61,50
MT034,DC001,42,78,90,53,55,166,51,127,174,46
MT001,DC002,98,71,98,140,168,108,124,159,203,62
MT004,DC002,182,192,120,73,142,114,61,91,123,111
MT005,DC002,224,117,135,129,133,171,241,121,56,84
MT007,DC002,119,118,158,64,99,162,207,130,133,149
MT008,DC002,200,87,40,159,188,72,49,65,231,180
MT009,DC002,77,77,95,47,89,61,110,53,68,173
MT010,DC002,105,162,130,63,85,75,227,139,57,77
MT011,DC002,157,54,77,96,167,141,177,99,88,91
MT013,DC002,177,202,75,154,42,234,182,42,155,188
MT014,DC002,81,116,165,194,58,156,139,154,107,118
MT016,DC002,94,250,110,186,101,130,57,124,204,161
MT017,DC002,125,82,56,202,48,60,146,77,43,61
MT018,DC002,70,122,58,167,67,93,111,140,237,38
MT019,DC002,194,177,113,182,99,79,74,173,130,93
MT020,DC002,130,190,116,120,113,182,73,67,162,180
MT025,DC002,139,72,71,63,157,120,136,235,101,165
MT026,DC002,238,83,51,115,59,48,84,170,181,178
MT028,DC002,46,108,49,54,68,233,56,234,168,79
MT029,DC002,73,145,58,112,144,154,246,97,137,181
MT030,DC002,48,165,110,37,116,80,106,83,175,117
MT031,DC002,135,67,165,129,90,190,89,125,45,124
MT032,DC002,99,101,132,141,35,204,120,34,116,114
MT033,DC002,88,109,183,64,104,210,184,73,44,70
MT035,DC002,88,66,187,192,155,206,126,139,139,72
MT036,DC002,110,49,153,111,150,121,194,112,60,55
MT021,DC002,139,129,398,178,491,144,142,343,324,401
MT023,DC002,368,183,197,335,388,411,334,427,269,472
MT002,DC002,99,67,101,37,109,121,80,61,82,20
MT003,DC002,60,89,46,27,150,57,65,77,29,32
MT006,DC002,67,119,105,95,104,120,42,110,117,50
MT012,DC002,102,97,108,116,62,38,44,70,131,105
MT015,DC002,92,139,123,56,67,76,79,153,48,54
MT022,DC002,122,69,105,112,35,56,51,54,88,81
MT024,DC002,108,71,47,137,21,26,88,114,106,21
MT027,DC002,75,103,116,46,134,96,38,34,92,134
MT034,DC002,41,83,63,84,30,94,47,81,36,141
MT001,DC003,100,101,108,278,93,356,254,108,214,145
MT004,DC003,222,109,181,76,162,166,240,195,95,384
MT005,DC003,271,60,115,156,213,208,332,54,163,96
MT007,DC003,261,238,97,138,164,215,87,130,228,214
MT008,DC003,169,301,110,90,90,328,202,117,155,155
MT009,DC003,162,228,94,198,297,90,191,59,149,224
MT010,DC003,319,144,142,144,241,108,84,240,223,66
MT011,DC003,168,157,141,127,116,357,66,261,103,118
MT013,DC003,143,163,183,213,96,75,295,65,210,77
MT014,DC003,231,251,226,235,138,65,230,297,254,234
MT016,DC003,163,299,230,255,102,78,173,72,222,288
MT017,DC003,134,262,57,159,254,159,248,145,155,66
MT018,DC003,291,225,101,179,228,299,293,235,181,175
MT019,DC003,221,214,290,187,112,232,262,72,84,94
MT020,DC003,171,62,226,326,75,146,150,125,91,66
MT025,DC003,334,345,133,133,300,290,147,65,243,171
MT026,DC003,81,186,116,118,289,184,310,48,186,72
MT028,DC003,192,162,91,183,278,252,235,148,106,236
MT029,DC003,321,200,131,90,296,305,145,97,120,219
MT030,DC003,189,146,96,254,43,188,202,232,144,142
MT031,DC003,69,254,151,304,257,117,255,134,265,295
MT032,DC003,113,109,78,132,150,260,145,230,112,98
MT033,DC003,195,52,131,229,77,230,203,261,126,128
MT035,DC003,100,198,245,260,118,239,144,89,123,79
MT036,DC003,247,219,184,123,89,269,108,354,314,194
MT021,DC003,585,372,636,170,237,604,299,569,200,477
MT023,DC003,582,137,544,412,372,267,250,231,466,704
MT002,DC003,82,32,92,33,61,65,81,100,50,32
MT003,DC003,82,16,44,72,102,48,104,82,103,109
MT006,DC003,131,57,45,51,40,21,35,44,29,60
MT012,DC003,107,103,110,72,32,97,42,118,82,117
MT015,DC003,92,96,54,91,115,78,45,65,114,83
MT022,DC003,75,58,84,96,88,98,27,94,97,38
MT024,DC003,125,66,55,97,73,105,107,102,83,25
MT027,DC003,66,75,52,37,52,88,29,116,51,61
MT034,DC003,58,35,109,42,40,57,64,60,43,27
MT001,DC004,241,132,147,187,135,56,117,38,309,326
MT004,DC004,272,285,218,180,230,115,72,131,330,246
MT005,DC004,315,239,96,101,141,253,277,196,49,204
MT007,DC004,226,93,50,160,156,88,309,182,264,143
MT008,DC004,260,265,130,178,111,81,187,162,108,106
MT009,DC004,110,254,65,77,147,69,165,150,185,187
MT010,DC004,203,268,282,200,138,125,252,229,237,87
MT011,DC004,125,78,100,72,146,113,152,91,254,188
MT013,DC004,120,286,200,179,177,141,36,113,106,181
MT014,DC004,237,236,259,189,237,73,57,230,123,203
MT016,DC004,83,248,229,163,149,124,146,73,107,152
MT017,DC004,203,129,139,113,251,290,195,47,139,324
MT018,DC004,263,58,203,93,55,171,64,182,156,129
MT019,DC004,44,194,120,97,184,191,128,117,237,91
MT020,DC004,140,245,190,259,179,88,58,133,43,68
MT025,DC004,208,63,317,118,116,132,142,136,59,191
MT026,DC004,179,302,207,251,298,164,153,161,211,137
MT028,DC004,118,229,91,216,321,239,201,243,197,56
MT029,DC004,130,152,53,294,63,284,147,81,211,99
MT030,DC004,131,212,102,95,212,77,137,233,108,81
MT031,DC004,247,214,352,204,131,218,137,130,79,200
MT032,DC004,271,302,160,150,239,343,146,121,53,173
MT033,DC004,322,84,181,50,178,51,314,52,270,112
MT035,DC004,74,59,120,165,302,192,79,172,188,233
MT036,DC004,206,104,221,81,61,156,160,314,81,175
MT021,DC004,481,309,290,1294,579,268,361,459,243,1113
MT023,DC004,1157,483,928,661,401,724,233,753,774,909
MT002,DC004,143,68,198,53,203,105,186,89,145,188
MT003,DC004,76,85,152,126,57,42,67,72,197,47
MT006,DC004,160,47,145,166,193,133,55,41,134,200
MT012,DC004,113,187,97,177,102,99,193,139,41,123
MT015,DC004,177,116,69,185,79,43,71,81,139,126
MT022,DC004,50,228,82,51,87,48,37,113,67,78
MT024,DC004,116,172,94,193,115,112,83,53,117,54
MT027,DC004,70,143,227,47,111,83,212,188,178,101
MT034,DC004,132,102,45,118,130,110,160,42,96,40
MT001,DC005,25,44,135,55,66,146,122,98,85,103
MT004,DC005,146,148,39,82,100,142,45,174,38,92
MT005,DC005,58,77,96,74,123,122,181,72,117,106
MT007,DC005,56,42,49,115,104,99,143,110,122,46
MT008,DC005,84,95,77,109,147,151,153,125,139,88
MT009,DC005,94,114,68,151,43,171,95,123,202,33
MT010,DC005,90,134,58,49,178,119,48,129,49,136
MT011,DC005,211,169,73,142,159,45,118,75,110,81
MT013,DC005,42,66,68,50,36,131,211,71,103,51
MT014,DC005,182,27,159,59,154,102,37,86,137,52
MT016,DC005,133,48,125,71,73,135,86,79,84,93
MT017,DC005,27,138,38,75,55,198,118,172,159,44
MT018,DC005,93,68,46,149,104,40,162,79,31,58
MT019,DC005,75,190,135,65,128,93,184,108,89,50
MT020,DC005,50,54,131,168,77,50,112,183,138,120
MT025,DC005,117,62,60,54,94,55,176,103,28,121
MT026,DC005,145,44,100,37,38,166,80,77,119,39
MT028,DC005,82,63,58,162,111,104,218,179,102,110
MT029,DC005,33,120,151,30,166,123,96,67,81,102
MT030,DC005,114,167,146,28,72,122,100,66,81,76
MT031,DC005,58,204,204,116,40,114,62,71,108,189
MT032,DC005,167,38,80,133,139,169,105,125,153,94
MT033,DC005,141,107,90,75,124,129,201,103,163,161
MT035,DC005,160,39,140,78,72,63,70,35,60,172
MT036,DC005,67,52,144,52,33,97,138,76,201,104
MT021,DC005,138,368,97,379,430,356,247,369,224,184
MT023,DC005,156,191,301,157,198,178,182,410,287,468
MT002,DC005,82,105,68,116,82,50,126,55,62,99
MT003,DC005,76,36,57,110,74,41,114,37,84,24
MT006,DC005,87,73,107,128,47,131,73,125,43,49
MT012,DC005,47,84,57,121,18,36,49,43,63,24
MT015,DC005,104,93,114,21,85,71,119,40,27,111
MT022,DC005,58,87,77,17,109,42,53,116,103,61
MT024,DC005,89,103,27,48,109,125,119,89,58,52
MT027,DC005,65,100,43,121,75,33,71,91,68,61
MT034,DC005,97,98,85,103,114,68,65,70,92,26
MT001,DC006,164,159,69,133,122,120,202,203,85,62
MT004,DC006,197,209,38,203,50,191,166,78,177,177
MT005,DC006,146,157,143,188,87,157,72,85,90,82
MT007,DC006,120,50,62,163,146,137,65,166,84,88
MT008,DC006,86,133,60,121,122,199,138,186,249,67
MT009,DC006,254,231,216,69,213,41,97,194,202,99
MT010,DC006,80,99,152,145,53,85,125,157,122,127
MT011,DC006,121,141,237,256,163,125,125,153,154,207
MT013,DC006,37,73,146,40,119,135,232,187,130,98
MT014,DC006,133,198,56,110,183,247,120,37,63,154
MT016,DC006,120,217,50,101,49,30,126,153,153,89
MT017,DC006,110,201,185,102,65,45,169,261,252,116
MT018,DC006,229,79,136,256,57,246,200,224,147,102
