MID,DCID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
MT001,DC001,260,296,189,233,145,120,141,92,252,295
MT004,DC001,91,244,118,120,125,129,218,93,180,263
MT005,DC001,95,309,297,120,84,114,263,109,215,98
MT007,DC001,178,292,209,159,224,230,280,126,171,139
MT008,DC001,122,187,199,154,82,174,143,219,166,286
MT009,DC001,230,100,270,198,136,140,230,90,79,257
MT010,DC001,152,206,220,288,198,118,127,190,109,282
MT011,DC001,218,230,115,196,225,136,121,76,105,245
MT013,DC001,322,173,207,76,213,266,117,274,193,145
MT014,DC001,152,250,141,193,150,280,151,157,108,186
MT016,DC001,141,264,130,187,134,114,176,189,267,171
MT017,DC001,161,175,153,76,280,153,104,126,197,207
MT018,DC001,113,192,215,189,155,130,207,155,238,254
MT019,DC001,140,230,250,222,149,139,252,221,243,239
MT020,DC001,100,177,225,91,95,187,236,94,87,185
MT025,DC001,232,136,170,232,203,204,198,199,235,109
MT026,DC001,175,111,263,147,213,227,197,102,192,279
MT028,DC001,249,90,166,168,88,166,282,178,182,275
MT029,DC001,183,177,126,175,176,116,250,132,154,199
MT030,DC001,122,176,98,129,141,232,148,230,74,179
MT031,DC001,120,135,163,131,189,124,100,108,141,202
MT032,DC001,198,198,207,187,240,207,121,129,186,95
MT033,DC001,115,123,92,194,187,163,199,130,281,245
MT035,DC001,101,256,267,312,261,108,104,108,120,166
MT036,DC001,225,144,153,229,253,216,89,186,291,308
MT021,DC001,742,985,675,602,544,405,453,357,399,505
MT023,DC001,251,495,595,351,508,550,412,236,645,979
MT002,DC001,232,102,139,99,123,110,50,186,54,221
MT003,DC001,142,116,116,79,138,199,133,87,137,209
MT006,DC001,133,119,57,122,134,54,81,175,117,160
MT012,DC001,127,96,200,111,115,198,115,107,101,191
MT015,DC001,225,96,116,104,92,195,105,137,106,76
MT022,DC001,109,72,241,175,153,76,69,67,213,90
MT024,DC001,124,185,147,112,175,97,109,86,167,159
MT027,DC001,129,67,231,104,132,59,100,71,112,126
MT034,DC001,84,91,81,169,78,163,112,84,104,82
MT001,DC002,92,108,161,91,163,84,117,100,190,147
MT004,DC002,203,123,89,102,116,94,75,123,141,118
MT005,DC002,142,156,153,166,158,87,105,76,133,101
MT007,DC002,61,150,109,120,108,114,102,101,86,68
MT008,DC002,135,102,92,155,181,135,127,56,116,186
MT009,DC002,128,203,65,76,85,103,89,111,103,167
MT010,DC002,177,89,57,70,90,86,74,126,95,73
MT011,DC002,174,129,105,105,88,131,153,77,68,101
MT013,DC002,94,174,206,155,131,85,144,78,46,112
MT014,DC002,91,62,77,104,77,199,42,53,65,164
MT016,DC002,112,194,86,185,81,112,156,74,191,180
MT017,DC002,81,73,80,122,149,72,131,121,115,68
MT018,DC002,204,174,117,151,72,121,72,169,197,156
MT019,DC002,112,196,161,100,188,87,143,62,102,105
MT020,DC002,100,117,73,101,167,81,159,120,154,163
MT025,DC002,145,99,166,120,115,104,86,172,117,97
MT026,DC002,107,122,95,96,126,122,105,128,74,96
MT028,DC002,62,93,97,97,76,167,150,102,93,115
MT029,DC002,59,166,97,128,86,119,192,127,137,195
MT030,DC002,119,128,99,83,77,91,162,71,110,58
MT031,DC002,61,94,72,96,131,155,106,136,215,76
MT032,DC002,136,178,179,88,130,157,137,82,67,56
MT033,DC002,98,117,161,168,60,141,142,150,123,96
MT035,DC002,109,144,139,105,157,132,154,147,170,99
MT036,DC002,136,136,157,91,103,210,126,172,154,180
MT021,DC002,598,328,545,232,275,562,304,238,442,212
MT023,DC002,458,399,370,508,392,261,221,393,342,317
MT002,DC002,45,112,80,52,131,99,92,94,90,47
MT003,DC002,65,68,99,52,122,48,73,41,90,110
MT006,DC002,40,56,72,107,81,50,51,37,107,59
MT012,DC002,57,77,118,59,96,93,103,120,57,89
MT015,DC002,108,90,148,54,103,48,66,104,154,110
MT022,DC002,78,53,53,53,102,90,124,69,66,79
MT024,DC002,60,88,113,101,82,58,52,54,85,41
MT027,DC002,92,56,80,108,80,129,86,102,54,113
MT034,DC002,81,72,100,53,39,48,62,71,65,90
MT001,DC003,76,105,259,165,124,168,140,83,105,111
MT004,DC003,192,179,344,192,203,169,227,203,115,216
MT005,DC003,148,107,176,185,134,278,198,128,163,129
MT007,DC003,134,193,187,210,199,250,271,149,148,173
MT008,DC003,289,288,90,146,110,176,278,114,150,79
MT009,DC003,176,156,143,148,229,126,102,200,82,220
MT010,DC003,293,208,183,92,137,139,102,207,129,235
MT011,DC003,137,171,156,170,267,238,223,133,208,152
MT013,DC003,136,200,158,114,249,162,178,101,194,200
MT014,DC003,253,231,129,217,253,190,255,297,193,331
MT016,DC003,210,130,183,191,238,151,109,183,117,126
MT017,DC003,102,270,82,215,154,126,133,126,207,296
MT018,DC003,298,128,197,93,225,152,187,224,145,159
MT019,DC003,142,141,135,239,110,168,206,122,70,151
MT020,DC003,200,173,250,246,216,182,226,89,190,267
MT025,DC003,260,286,263,87,136,181,120,186,274,98
MT026,DC003,219,122,170,130,118,92,182,183,108,91
MT028,DC003,197,192,178,90,292,325,158,190,97,115
MT029,DC003,217,235,165,256,279,274,66,172,192,213
MT030,DC003,206,128,190,214,120,282,106,131,109,189
MT031,DC003,112,300,126,174,185,99,236,166,95,273
MT032,DC003,113,167,116,312,153,279,167,275,104,66
MT033,DC003,172,75,115,128,155,184,167,188,167,180
MT035,DC003,144,226,195,130,112,195,282,121,231,176
MT036,DC003,156,137,230,132,123,119,147,229,210,225
MT021,DC003,341,242,275,337,508,339,401,216,365,194
MT023,DC003,417,174,548,312,311,290,353,356,353,496
MT002,DC003,77,77,77,63,49,44,85,81,104,53
MT003,DC003,66,72,51,102,69,42,61,96,63,95
MT006,DC003,106,48,88,49,48,51,131,76,76,88
MT012,DC003,78,76,40,44,95,75,49,54,32,115
MT015,DC003,60,96,76,106,61,111,62,86,128,34
MT022,DC003,76,64,58,86,32,88,86,114,90,74
MT024,DC003,107,50,76,89,58,85,124,94,62,103
MT027,DC003,61,36,64,84,74,87,75,119,41,68
MT034,DC003,104,86,54,78,68,92,118,40,56,39
MT001,DC004,196,244,149,92,160,200,225,176,171,191
MT004,DC004,216,224,131,212,112,168,105,171,151,162
MT005,DC004,288,146,259,84,160,104,85,220,100,231
MT007,DC004,200,109,82,124,129,184,113,217,211,259
MT008,DC004,228,139,190,99,149,121,79,174,166,225
MT009,DC004,102,128,204,106,228,122,114,152,125,172
MT010,DC004,132,216,266,148,116,141,182,268,265,97
MT011,DC004,170,169,194,140,100,231,163,116,144,70
MT013,DC004,237,165,230,142,164,147,139,180,108,131
MT014,DC004,206,230,167,176,198,83,189,271,117,192
MT016,DC004,221,252,153,145,172,165,228,161,74,72
MT017,DC004,92,143,142,239,149,241,94,163,78,272
MT018,DC004,97,84,83,273,201,124,76,140,135,167
MT019,DC004,170,202,181,143,254,269,115,124,134,153
MT020,DC004,90,210,175,165,191,91,207,277,167,176
MT025,DC004,284,166,157,174,248,164,159,215,111,192
MT026,DC004,111,125,84,241,111,66,153,218,103,178
MT028,DC004,161,196,174,208,236,95,156,187,172,200
MT029,DC004,195,279,90,131,139,224,190,82,115,264
MT030,DC004,169,169,120,165,269,145,190,108,160,254
MT031,DC004,259,219,106,186,110,123,142,138,67,210
MT032,DC004,178,102,179,135,256,183,179,240,128,187
MT033,DC004,209,122,210,78,110,170,188,127,212,152
MT035,DC004,185,130,162,105,196,250,188,94,132,168
MT036,DC004,160,211,104,99,116,212,134,227,151,91
MT021,DC004,294,779,944,1035,402,986,568,483,1026,955
MT023,DC004,921,626,928,418,431,734,544,628,554,490
MT002,DC004,80,110,81,187,181,56,127,90,127,121
MT003,DC004,70,136,182,62,104,185,86,92,82,91
MT006,DC004,133,70,140,83,165,102,125,123,96,141
MT012,DC004,123,87,107,115,150,105,80,152,108,89
MT015,DC004,90,110,99,100,86,81,75,110,144,75
MT022,DC004,96,170,101,100,94,99,89,146,87,133
MT024,DC004,123,60,184,74,100,113,69,126,159,157
MT027,DC004,47,110,144,162,93,116,186,148,105,107
MT034,DC004,152,191,113,89,143,116,144,96,119,87
MT001,DC005,111,95,111,146,57,77,154,123,100,150
MT004,DC005,73,115,66,60,79,181,72,135,77,109
MT005,DC005,138,114,95,78,51,69,153,184,175,116
MT007,DC005,163,110,82,77,144,151,148,87,87,109
MT008,DC005,95,140,72,103,60,111,88,68,141,44
MT009,DC005,69,129,122,101,149,72,96,80,99,130
MT010,DC005,90,92,117,124,131,144,98,49,72,91
MT011,DC005,186,151,48,51,133,66,169,130,110,81
MT013,DC005,118,58,54,95,102,91,91,137,103,97
MT014,DC005,62,104,150,83,120,102,133,84,100,72
MT016,DC005,116,99,71,149,68,71,135,51,80,142
MT017,DC005,70,91,70,131,148,91,69,184,135,114
MT018,DC005,144,96,128,170,77,59,153,99,107,159
MT019,DC005,102,65,87,68,104,56,180,125,124,53
MT020,DC005,99,58,76,165,116,79,75,107,176,58
MT025,DC005,136,150,103,170,52,102,101,112,74,157
MT026,DC005,86,93,101,86,82,103,137,121,118,52
MT028,DC005,196,64,67,114,109,96,182,92,99,86
MT029,DC005,61,108,75,77,115,122,73,74,126,89
